word,difficulty_level,definition
gallop,3,To run or move at a fast pace with a bounding stride.
luggage,3,Suitcases, bags, or containers for carrying clothes and belongings when traveling.
pulse,3,The regular beat of the heart or a short burst of energy or light.
utensils,3,Tools or implements used for eating, cooking, or serving food.
wily,4,Clever, crafty, or sneaky in a deceptive way.
gabled,4,Having a triangular roof end on a building.
dinosaur,4,An extinct reptile from millions of years ago.
ramparts,4,Defensive walls or embankments around a fort or castle.
cottage,3,A small, cozy house usually in the countryside.
depot,3,A station or warehouse for storing or transferring goods.
rookie,3,A beginner or new player on a team.
settle,3,To resolve or come to rest in a place.
brought,3,Past tense of bring; carried or took something.
vinyl,3,A type of plastic used for records or flooring.
garland,4,A decorative wreath or chain of flowers or leaves.
incident,3,An event or occurrence, often unpleasant.
transparencies,4,See-through sheets used for overhead projectors.
somber,4,Serious, gloomy, or dark in mood or color.
ancient,3,Very old; from a long time ago.
anemometers,5,Instruments used to measure wind speed.
gnaw,3,To chew or bite persistently on something.
brambles,4,Thorny bushes or tangled undergrowth.
hazmat,4,Hazardous materials that require special handling.
earthquake,3,A sudden shaking of the ground caused by tectonic plates.
dainty,4,Delicately small, pretty, or refined.
comfort,3,A feeling of physical or mental ease.
trifecta,5,A group of three related things or a perfect combination.
Antarctic,4,Relating to the South Pole region.
tampered,4,Interfered with or altered secretly.
tapestry,4,A heavy woven fabric with designs, often hung on walls.
buckle,3,A fastener on a belt or shoe, or to bend under pressure.
caroling,4,Singing Christmas songs joyfully in a group.
shingle,3,A thin piece of wood or material used for roofing.
perfume,3,A scented liquid worn for a pleasant smell.
loyal,3,Faithful and true to someone or something.
delivery,3,The act of bringing or handing over something.
vividly,4,In a bright, clear, or intense way.
mason,3,A person who builds with stone, brick, or concrete.
plaiting,4,Braiding or weaving hair or fabric.
remarkable,3,Unusual or worthy of attention.
attagirl,4,An informal cheer of encouragement for a girl or woman.
briny,4,Salty like seawater.
foolishness,3,Silly or unwise behavior.
avoid,3,To keep away from or prevent.
writers,3,People who create written works like books or articles.
joists,4,Horizontal beams that support a floor or ceiling.
salamanders,4,Small amphibians resembling lizards.
pavement,3,A hard surface for roads or sidewalks.
constellation,4,A group of stars forming a pattern in the sky.
static,3,Unmoving or crackling noise in radio or TV.
series,3,A sequence of related things or events.
scrambling,3,Moving quickly and awkwardly or mixing things up.
disembark,4,To get off a ship, plane, or vehicle.
garnet,4,A deep red gemstone or a type of rock.
sundering,5,Dividing or splitting apart.
samples,3,Small portions used to test or show quality.
audience,3,A group of people watching or listening to something.
inspector,3,A person who examines or checks things officially.
usual,3,Common or habitual.
furrow,4,A long narrow trench in soil or a wrinkle on the forehead.
juncture,4,A point where things join or a critical moment.
modern,3,Relating to the present time or up-to-date.
insubstantial,5,Not solid, flimsy, or lacking importance.
distressed,4,Anxious, upset, or made to look worn.
challenge,3,A difficult task or invitation to compete.
sprawl,4,To spread out loosely or uncontrollably.
exploits,4,Brave or daring deeds, or to use selfishly.
chalk,3,A soft white rock or stick used for writing on boards.
staggered,3,Arranged in a zigzag pattern or shocked.
smudge,3,A dirty mark or to blur something.
cahoots,4,In partnership or secretly plotting together.
museum,3,A building where objects of interest are displayed.
rabble-rouser,5,A person who stirs up trouble or crowds.
concentrate,3,To focus attention or make something stronger.
assistance,3,Help or support given to someone.
throttle,4,To choke or control the speed of an engine.
oozing,4,Flowing out slowly like liquid.
wren,3,A small brown songbird.
profound,4,Very deep or intense in meaning.
proud,3,Feeling pleased about an achievement.
sanitized,4,Cleaned to remove germs.
perfection,3,The state of being flawless.
Mars,3,The red planet in our solar system.
legend,3,A traditional story or a famous person.
wreath,3,A circular arrangement of flowers or leaves.
expiration,4,The end of a time period or breathing out.
diminished,4,Reduced or made smaller.
capable,3,Able to do something well.
pelican,3,A large water bird with a pouch under its beak.
transistor,4,A small electronic device used in circuits.
profile,3,A side view of a face or a brief description.
batteries,3,Devices that store and provide electrical energy.
organist,4,A person who plays the organ instrument.
gadgets,3,Small mechanical or electronic devices.
drastic,4,Extreme or severe in effect.
amplify,4,To increase the strength or volume of something.
untoward,5,Unexpected and inappropriate or unlucky.
centuries,3,Periods of 100 years.
operator,3,A person who works a machine or telephone.
channel,3,A passage for water or TV station.
yoga,3,A system of exercises for body and mind.
security,3,Safety or protection.
memorial,3,Something built to remember a person or event.
differed,3,Was different or disagreed.
Louisiana,3,A state in the southern United States.
chisel,3,A tool with a sharp blade for cutting wood or stone.
burlap,4,A coarse fabric made from jute or hemp.
refrain,3,To stop oneself from doing something or a repeated phrase.
industrial,4,Relating to factories and manufacturing.
fearsome,4,Very frightening or alarming.
perpetual,4,Continuing forever or constantly.
chimney,3,A structure that carries smoke from a fire.
blazer,3,A smart jacket or a bright light.
tactics,4,Planned methods to achieve a goal.
barrier,3,Something that blocks or separates.
fiercest,4,Most intense or violent.
blustery,4,Windy and gusty.
minnow,3,A very small fish.
trombone,4,A brass musical instrument with a slide.
shepherd,3,A person who tends sheep or to guide.
gratingly,5,In an irritating or harsh way.
residence,3,A place where someone lives.
molars,3,Large teeth used for grinding food.
domain,3,An area of control or a field of knowledge.
trembling,3,Shaking with fear or cold.
Angus,3,A breed of beef cattle or a proper name.
brayed,3,Made a loud donkey-like cry.
abated,4,Became less intense or subsided.
arrange,3,To organize or plan something.
shuffle,3,To mix cards or drag feet while walking.
calmed,3,Became peaceful or quiet.
mulish,5,Stubborn like a mule.
Harlem,3,A neighborhood in New York City.
scattering,3,A small number spread out.
dissolved,3,Mixed into a liquid or ended.
carpenter,3,A person who builds or repairs wooden structures.
police,3,The force responsible for enforcing laws.
rivalry,3,Competition between people or groups.
messenger,3,A person who carries messages.
toppled,4,Fell over or caused to fall.
extremely,3,To a very high degree.
pruners,4,Tools for trimming plants or trees.
certain,3,Definite or sure.
siblings,3,Brothers and sisters.
beacons,4,Guiding lights or signals.
vane,3,A blade or fin that rotates with the wind.
plastic,3,A synthetic material or easily shaped.
parcel,3,A package or a piece of land.
barograph,5,An instrument that records air pressure changes.
chestnut,3,A type of tree or its edible nut.
generation,3,A group of people born around the same time.
vortices,5,Whirling masses of air or water.
multiplication,3,The mathematical process of repeated addition.
squawk,3,A loud harsh cry.
charred,4,Burned until black.
minivan,3,A small van for passengers.
coverage,3,The extent of protection or reporting.
turbulent,4,Full of violent motion or unrest.
middle,3,The center position.
Sheetrock,4,A brand of drywall used for walls.
Pakistan,3,A country in South Asia.
plaid,3,A pattern of crossed stripes.
deters,4,Discourages or prevents.
obstacles,3,Things that block progress.
reasonable,3,Fair or sensible.
trowel,4,A small hand tool for spreading mortar or digging.
pressure,3,Force applied to a surface or stress.
tissue,3,Soft thin paper or body cells.
Nepal,3,A country in the Himalayas.
continental,4,Relating to a continent or large landmass.
closet,3,A small room for storing clothes.
nervous,3,Anxious or easily excited.
surmised,4,Guessed or inferred without proof.
scoundrel,4,A dishonest or wicked person.
disinfectant,4,A chemical that kills germs.
deportment,5,Behavior or manner of conducting oneself.
investigation,3,A careful search for facts.
spirit,3,The non-physical part of a person or enthusiasm.
teak,4,A hard tropical wood used for furniture.
amino,4,Relating to organic compounds in proteins.
campaign,3,A series of planned actions for a goal.
exhibits,3,Public displays or shows.
accident,3,An unexpected event causing harm.
equator,3,An imaginary line around the middle of Earth.
transit,3,The process of moving from one place to another.
menthol,4,A minty substance used in medicines and candy.
starvation,3,Suffering or death from lack of food.
agricultural,4,Relating to farming and crops.
discussion,3,A talk or conversation about a topic.
evidence,3,Facts or signs that prove something.
cannonade,5,A heavy continuous firing of artillery.
Tabasco,4,A brand of hot pepper sauce.
gamma,4,The third letter of the Greek alphabet or a type of radiation.
momentous,5,Very important or significant.
confused,3,Unable to think clearly or mixed up.
solar,3,Relating to the sun.
appetite,3,A desire for food or something else.
obvious,3,Easy to see or understand.
spleen,4,An organ that filters blood or a bad temper.
disturbance,3,Something that interrupts or upsets.
microwave,3,An oven that cooks with electromagnetic waves or a short wave.
explore,3,To travel through an area to discover things.
distance,3,The amount of space between two points.
fault,3,A mistake or a crack in the earth.
colonists,4,People who settle in a new country.
prudence,4,Wise and careful judgment.
assembly,3,A group gathered together or the act of putting together.
sheriff,3,A law officer in a county.
tarry,4,To delay or linger.
entity,4,A thing with separate existence.
archives,4,Collections of historical records.
commotion,3,Loud noise and confusion.
vacancy,3,An empty space or job opening.
beatboxing,5,Making drum-like sounds with the mouth.
mutate,4,To change form or genetic structure.
commonplace,4,Ordinary or usual.
gingerbread,3,A sweet cake flavored with ginger.
hunky-dory,5,Very satisfactory or fine.
dispute,3,An argument or disagreement.
